event>     init
event>        0   100000
event>        1   100000
event>        2   100000
event>        5   100000
event>       10   100000
event>       20   100000
event>       50   100000
event>      100   100000
event>      200   100000
event>      500   100000
event>     1000   100000
event>     2000   100000
event>     3000   100000
event>     4000   100000
event>     5000   100000
event>     6000   100000
event>     7000   100000
event>     8000   100000
event>     9000   100000
event>    10000   100000
event>    11000   100000
event>    12000   100000
event>    13000   100000
event>    14000   100000
event>    15000   100000
event>    16000   100000
event>    17000   100000
event>    18000   100000
event>    19000   100000
event>    20000   100000
event>    21000   100000
event>    22000   100000
event>    23000   100000
event>    24000   100000
event>    25000   100000
